date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2026-03-07,1472,325533.4110283458,253393.38435508223,418212.9451347441,233076.81616545544,454666.3973794955,deaths,russia
2026-03-06,1471,325082.39749451255,253277.09764044097,417246.47313496564,232905.33119890798,453741.3083812458,deaths,russia
2026-03-05,1470,324652.51486843755,253183.81764721018,416296.955105678,232753.67109655982,452836.9056195247,deaths,russia
2026-03-04,1469,324215.8648259225,253081.78933854727,415345.21112882934,232594.2574093135,451929.10910551983,deaths,russia
2026-03-03,1468,323778.6163148258,252982.1783094664,414388.7352564466,232435.99881170635,451017.8078658765,deaths,russia
2026-03-02,1467,323355.09865438513,252902.22377690746,413436.0503845643,232293.60701384,450114.4226625683,deaths,russia
2026-03-01,1466,322934.7046617041,252830.06268355864,412479.5579527914,232156.71920044636,449209.578673428,deaths,russia
2026-02-28,1465,322508.4697274905,252752.08381813404,411518.616431057,232014.16895545524,448299.9749679874,deaths,russia
2026-02-27,1464,322080.10098478466,252674.79198404186,410551.7644158296,231871.29781670935,447385.3920595019,deaths,russia
2026-02-26,1463,321631.7294615376,252573.98890184893,409572.7604287972,231707.92673474865,446455.12157377135,deaths,russia
2026-02-25,1462,321166.3877655189,252455.53298824973,408579.8491969838,231528.6478174891,445508.74064255384,deaths,russia
2026-02-24,1461,320693.90384860995,252325.5006996488,407588.2555212662,231339.63611436516,444561.6591077938,deaths,russia
2026-02-23,1460,320219.8430041217,252192.07627587178,406599.0273769899,231147.53912563235,443616.6013995121,deaths,russia
2026-02-22,1459,319737.20468560787,252044.24976812993,405612.0879044364,230943.4659259566,442671.20182785037,deaths,russia
2026-02-21,1458,319236.6914571781,251873.9338543247,404616.7583134173,230720.02022580284,441713.8328874714,deaths,russia
2026-02-20,1457,318771.3642953851,251742.1105506567,403649.51345341664,230529.63046912864,440790.9168400396,deaths,russia
2026-02-19,1456,318325.6670978759,251638.43836190552,402687.51400213264,230361.97965763696,439879.1428144658,deaths,russia
2026-02-18,1455,317909.97797716834,251568.75523461486,401747.81413101306,230223.18147533314,438995.59487297264,deaths,russia
2026-02-17,1454,317518.7320873987,251523.65581987984,400831.42780812166,230105.72203553436,438139.26538354554,deaths,russia
2026-02-16,1453,317120.43626467045,251465.53087795954,399918.85485645884,229977.59313716716,437284.23015566665,deaths,russia
2026-02-15,1452,316698.38425842894,251365.96049392817,399012.84575184993,229816.41006143164,436426.80315076787,deaths,russia
2026-02-14,1451,316263.441160061,251238.60375816064,398118.98884610436,229633.6960001293,435574.9894373217,deaths,russia
2026-02-13,1450,315830.81147613167,251111.9980138377,397230.53863275104,229451.5776523226,434728.8084266656,deaths,russia
2026-02-12,1449,315405.4144199004,250991.4299661905,396351.44951963745,229274.67475851576,433893.01140171563,deaths,russia
2026-02-11,1448,314981.4401518693,250869.36386379396,395479.02688487904,229096.71045964037,433063.49568263296,deaths,russia
2026-02-10,1447,314551.406431073,250739.49183271028,394604.3611191772,228911.86143872514,432230.6565946826,deaths,russia
2026-02-09,1446,314128.06445459614,250606.9203185392,393751.26756176644,228726.50227582475,431417.42349795287,deaths,russia
2026-02-08,1445,313696.55428791355,250467.27699744434,392889.06480762415,228534.46479472454,430594.449621935,deaths,russia
2026-02-07,1444,313265.0939944777,250333.93613129272,392017.4583675788,228346.30412358383,429764.4622689578,deaths,russia
2026-02-06,1443,312776.5472459559,250129.9306733634,391114.1483928581,228098.60313358932,428890.1432233917,deaths,russia
2026-02-05,1442,312270.69167178293,249899.926321332,390208.7210160996,227829.68738675147,428008.48391607654,deaths,russia
2026-02-04,1441,311769.7574408921,249669.9944208059,389316.01084939303,227561.67297388564,427138.8668700652,deaths,russia
2026-02-03,1440,311273.376384819,249441.86713564524,388432.3542856613,227295.60740565349,426278.29201803246,deaths,russia
2026-02-02,1439,310780.60223275545,249219.5774812604,387549.0182733663,227033.90411426857,425419.59637423506,deaths,russia
2026-02-01,1438,310334.5847027771,249050.61828406402,386699.7295545122,226817.45286307237,424604.2726028299,deaths,russia
2026-01-31,1437,309924.7461871932,248915.43572876867,385888.5915807205,226631.12410882753,423831.7545998241,deaths,russia
2026-01-30,1436,309554.7346156513,248825.33329032315,385107.1256535747,226483.03636662362,423096.8129932171,deaths,russia
2026-01-29,1435,309200.25398172,248750.46944369137,384341.21459108853,226348.15112663788,422379.88808386127,deaths,russia
2026-01-28,1434,308840.4212954739,248665.70673595273,383577.8438848489,226205.32377938673,421663.41874582676,deaths,russia
2026-01-27,1433,308477.38974384154,248572.08678570786,382820.70910136786,226055.77128361788,420950.9883530347,deaths,russia
2026-01-26,1432,308069.4689490406,248423.47574422884,382037.1805559985,225860.06775351215,420202.1243028043,deaths,russia
2026-01-25,1431,307608.8121006251,248209.95037189455,381222.9912292597,225610.03392010217,419410.60573212424,deaths,russia
2026-01-24,1430,307110.3287773696,247950.41475905754,380385.99918384216,225321.3519145108,418587.9066955604,deaths,russia
2026-01-23,1429,306577.61393718026,247646.86520353408,379531.98934555147,224996.21722801603,417739.7155957491,deaths,russia
2026-01-22,1428,306004.779263198,247292.62305960874,378656.5573940779,224628.98963035378,416860.42818488175,deaths,russia
2026-01-21,1427,305400.87945618224,246898.0658252768,377766.16351545445,224228.5022402404,415958.2933879441,deaths,russia
2026-01-20,1426,304784.8484343445,246486.2095406216,376872.4050103388,223813.98213689827,415049.20384537335,deaths,russia
2026-01-19,1425,304196.4895633299,246103.96072851258,376001.92438126274,223424.93973581845,414168.26696535066,deaths,russia
2026-01-18,1424,303638.59664955,245754.37312212642,375156.96697423834,223063.99088563435,413318.2435310619,deaths,russia
2026-01-17,1423,303087.9774472552,245414.1182025939,374315.87066071265,222710.62720800686,412474.0102393472,deaths,russia
2026-01-16,1422,302562.4221205121,245099.5659261532,373497.6227453044,222379.59904439835,411656.67547153035,deaths,russia
2026-01-15,1421,302063.73870005313,244812.74514522305,372703.5990052277,222072.6296410539,410867.97086923115,deaths,russia
2026-01-14,1420,301583.0814297661,244544.75656398202,371925.54382941936,221781.8935407557,410098.32302494545,deaths,russia
2026-01-13,1419,301123.44395321235,244295.4795100731,371171.0900398276,221508.0508847146,409354.6844043122,deaths,russia
2026-01-12,1418,300684.0464154733,244064.43765105636,370439.0296449075,221250.61018660586,408635.83930808,deaths,russia
2026-01-11,1417,300267.60662536876,243854.29773177745,369732.0071742116,221011.93038813028,407944.8170821747,deaths,russia
2026-01-10,1416,299856.3335073856,243645.53163647893,369035.7932118513,220775.3339945502,407264.0471333962,deaths,russia
2026-01-09,1415,299451.83468281885,243449.55295222765,368337.1274278083,220548.21022104364,406584.29742875375,deaths,russia
2026-01-08,1414,299087.0559214893,243317.69662433237,367639.61158384965,220370.6131542026,405921.29764258733,deaths,russia
2026-01-07,1413,298762.57444754714,243248.17608858962,366947.5232361748,220241.50426618344,405278.6065086202,deaths,russia
2026-01-06,1412,298407.2802619014,243145.54992583074,366229.9587981937,220083.76731074325,404605.10266339773,deaths,russia
2026-01-05,1411,298029.15346119157,243015.04095307694,365498.58370734367,219902.7592100835,403912.5517504046,deaths,russia
2026-01-04,1410,297631.0593617923,242860.61194890685,364754.4423320791,219701.67548150299,403202.8406477982,deaths,russia
2026-01-03,1409,297244.184625522,242714.30005595574,364025.80949138314,219508.39971854564,402509.2696801846,deaths,russia
2026-01-02,1408,296868.36647229333,242565.42753577256,363328.39926199947,219316.36931741855,401843.47974874754,deaths,russia
2026-01-01,1407,296463.94007893215,242356.32916758233,362651.6093230305,219079.90143865964,401181.8479419675,deaths,russia
2025-12-31,1406,296027.8234286771,242086.20954404995,361988.8869164915,218797.8021803561,400518.1215409104,deaths,russia
2025-12-30,1405,295596.3300186903,241817.55682484107,361335.36782659264,218517.78645992742,399863.1157852569,deaths,russia
2025-12-29,1404,295178.3866115079,241570.37500687674,360683.0180558933,218254.29966480215,399214.5622366487,deaths,russia
2025-12-28,1403,294772.7538761327,241331.7815232077,360048.01826836064,217999.29231229846,398583.82319895097,deaths,russia
2025-12-27,1402,294378.7214917276,241111.0114887418,359414.91421775206,217758.05544616905,397959.32928196265,deaths,russia
2025-12-26,1401,294002.36077485234,240902.26835202612,358807.14368839614,217528.8274425957,397360.7058861673,deaths,russia
2025-12-25,1400,293635.5805318686,240698.44434877048,358215.52246167633,217305.13019949588,396777.9051211955,deaths,russia
2025-12-24,1399,293280.0169800514,240514.66183668614,357621.59604621405,217096.39292430406,396198.15678688505,deaths,russia
