date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-10-30,1344,1134008.330543973,1050261.49275696,1225038.197146056,980113.9042175411,1312067.2168270126,casualties,russia
2025-10-29,1343,1133468.8995418716,1050261.49275696,1223737.0528779519,979927.0881494684,1311069.1351815977,casualties,russia
2025-10-28,1342,1132942.1851437201,1050261.49275696,1222460.4644098773,979745.8009910723,1310093.2787586295,casualties,russia
2025-10-27,1341,1132466.4773031697,1050261.49275696,1221246.4745848023,979606.2914961495,1309179.7180575584,casualties,russia
2025-10-26,1340,1131903.201531435,1050261.49275696,1219972.8602654927,979371.1605878472,1308191.6622468263,casualties,russia
2025-10-25,1339,1131225.9621358486,1050261.49275696,1218621.2186478258,979012.3824734201,1307105.4965998915,casualties,russia
2025-10-24,1338,1130534.2451125192,1050261.49275696,1217265.0052036478,978634.6278442976,1306011.3507328785,casualties,russia
2025-10-23,1337,1129763.965557137,1050261.49275696,1215826.169559695,978183.253679805,1304834.0602438957,casualties,russia
2025-10-22,1336,1128889.3938104054,1050261.49275696,1214308.5206525668,977621.9366242165,1303562.6507455376,casualties,russia
2025-10-21,1335,1127957.2094858617,1050261.49275696,1212753.7597076325,976996.8577393,1302243.31404874,casualties,russia
2025-10-20,1334,1126989.5490134058,1050261.49275696,1211169.5722096963,976334.7172713964,1300891.5754123088,casualties,russia
2025-10-19,1333,1126102.8637969892,1050261.49275696,1209658.5275313596,975750.9721358601,1299622.4229611387,casualties,russia
2025-10-18,1332,1125294.9290614312,1050261.49275696,1208205.0935563315,975248.8653537367,1298426.405339739,casualties,russia
2025-10-17,1331,1124546.6601952296,1050261.49275696,1206810.9800678657,974801.9288303712,1297294.7464443054,casualties,russia
2025-10-16,1330,1123920.1432547106,1050261.49275696,1205565.4508898822,974457.9312304832,1296307.098922002,casualties,russia
2025-10-15,1329,1123381.6891265688,1050261.49275696,1204393.664741712,974201.4775538943,1295406.2444500204,casualties,russia
2025-10-14,1328,1122951.4821130286,1050261.49275696,1203331.949701225,974045.2661138097,1294621.8466395866,casualties,russia
2025-10-13,1327,1122584.0591678063,1050261.49275696,1202350.2414729036,973940.3071982593,1293914.2100900356,casualties,russia
2025-10-12,1326,1122210.5170045344,1050261.49275696,1201371.435428937,973824.8619354044,1293206.523783169,casualties,russia
2025-10-11,1325,1121831.1784107448,1050261.49275696,1200405.7979794552,973695.417274786,1292504.1843089152,casualties,russia
2025-10-10,1324,1121474.9662685858,1050261.49275696,1199467.4489416168,973584.980994682,1291830.026229104,casualties,russia
2025-10-09,1323,1121119.7121608024,1050261.49275696,1198484.7013373557,973491.6536273676,1291135.5010081704,casualties,russia
2025-10-08,1322,1120840.3858513772,1050261.49275696,1197564.1839718728,973473.633981324,1290516.143255783,casualties,russia
2025-10-07,1321,1120555.790041534,1050261.49275696,1196612.877020693,973459.0288007311,1289880.2682778398,casualties,russia
2025-10-06,1320,1120127.1090119798,1050261.49275696,1195559.5815334152,973291.9579654686,1289114.75814892,casualties,russia
2025-10-05,1319,1119757.0391605261,1050261.49275696,1194578.5160101913,973173.8154213191,1288419.457103725,casualties,russia
2025-10-04,1318,1119474.9605870894,1050261.49275696,1193684.324841967,973137.8160134105,1287818.0021221708,casualties,russia
2025-10-03,1317,1119184.3865028406,1050261.49275696,1192778.754747075,973093.6019369441,1287207.998014181,casualties,russia
2025-10-02,1316,1118789.3903939528,1050261.49275696,1191789.5308415226,972941.8299712014,1286500.1974246628,casualties,russia
2025-10-01,1315,1118130.3506600752,1050109.2753650616,1190558.4643469374,972531.9403523917,1285526.5516925366,casualties,russia
2025-09-30,1314,1117327.6580185618,1049803.63582638,1189195.97580919,971981.052717422,1284409.0478510538,casualties,russia
2025-09-29,1313,1116546.651150011,1049544.7171454916,1187826.9629955636,971460.2863713945,1283301.6134730154,casualties,russia
2025-09-28,1312,1115564.7497155552,1049106.4884143476,1186233.9439514994,970757.6500534094,1281972.7032112244,casualties,russia
2025-09-27,1311,1114263.756528902,1048363.6949341758,1184307.2019776797,969758.715934622,1280301.7620917829,casualties,russia
2025-09-26,1310,1112692.4405198568,1047346.8262236465,1182115.9411019995,968502.0464225262,1278349.932834602,casualties,russia
2025-09-25,1309,1111116.9227864435,1046314.4825302528,1179933.7145073419,967235.452521475,1276401.5912324884,casualties,russia
2025-09-24,1308,1109629.8733931966,1045366.6277659539,1177844.545396123,966049.3632090415,1274550.3036820362,casualties,russia
2025-09-23,1307,1108222.7126092596,1044475.7443935045,1175861.2024764048,964928.2402005079,1272796.8649972542,casualties,russia
2025-09-22,1306,1106952.9003782033,1043748.7660641617,1173985.2412932615,963945.7839200436,1271176.0546075976,casualties,russia
2025-09-21,1305,1105722.402953918,1043060.777701823,1172149.3496666513,962998.7111178238,1269598.9258519735,casualties,russia
2025-09-20,1304,1104709.255433634,1042588.1163281541,1170532.8316867205,962254.0618157996,1268254.101505146,casualties,russia
2025-09-19,1303,1103837.9893554836,1042260.822308408,1169054.2672294318,961642.9782403242,1267059.0488218428,casualties,russia
2025-09-18,1302,1103038.5044501678,1042004.3149013547,1167648.8595222281,961097.6765798511,1265942.1674626402,casualties,russia
2025-09-17,1301,1102244.728808336,1041757.327459384,1166245.3826341978,960557.761045452,1264831.3512502944,casualties,russia
2025-09-16,1300,1101304.1814811842,1041383.4387504512,1164673.8397933203,959885.852893946,1263557.5373950014,casualties,russia
2025-09-15,1299,1100283.8086143883,1040910.8730928883,1163044.356810512,959130.2202497529,1262210.8283615876,casualties,russia
2025-09-14,1298,1099337.934476878,1040488.8179991803,1161516.4201360445,958434.390718777,1260956.3904159828,casualties,russia
2025-09-13,1297,1098323.4236324774,1039980.5019419935,1159940.2236770596,957666.0573768,1259639.9335475161,casualties,russia
2025-09-12,1296,1097246.9335577227,1039401.2981368068,1158312.6253379856,956834.8086913894,1258264.0982953587,casualties,russia
2025-09-11,1295,1096081.345251048,1038726.5818010198,1156603.7752601474,955916.1354190469,1256798.9151613053,casualties,russia
2025-09-10,1294,1094832.7702928947,1037953.0725515218,1154830.172884865,954912.5211742138,1255255.1229460472,casualties,russia
2025-09-09,1293,1093582.3275844182,1037161.1304397213,1153073.4888702515,953900.1355651285,1253718.5926780843,casualties,russia
2025-09-08,1292,1092168.1134378875,1036201.7856291274,1151157.8657687677,952731.438492237,1252012.013393414,casualties,russia
2025-09-07,1291,1090638.432204079,1035123.1023232169,1149131.7096457812,951451.8492105618,1250186.4420644022,casualties,russia
2025-09-06,1290,1089067.7078273203,1034004.5975242938,1147063.5983055609,950133.0822284975,1248318.2666527154,casualties,russia
2025-09-05,1289,1087545.7007898507,1032927.0483074851,1145052.9997964422,948856.424329642,1246506.4591850187,casualties,russia
2025-09-04,1288,1085977.135523898,1031795.1172650049,1143004.9420853525,947532.3464812542,1244650.227342909,casualties,russia
2025-09-03,1287,1084354.8543967935,1030603.6413503777,1140910.0207669116,946154.9713156316,1242740.87937964,casualties,russia
2025-09-02,1286,1082711.64461005,1029380.78248995,1138806.0310934035,944753.6114243091,1240815.0652220126,casualties,russia
2025-09-01,1285,1081079.0870751133,1028151.2988637286,1136731.9768311053,943355.7597977238,1238909.0596170004,casualties,russia
2025-08-31,1284,1079514.1429356292,1026978.7692337427,1134737.3546952095,942017.1937542658,1237080.1661800141,casualties,russia
2025-08-30,1283,1077963.256893579,1025800.1235888411,1132779.272791128,940684.3481683219,1235275.984078132,casualties,russia
2025-08-29,1282,1076467.6110682415,1024659.0841553673,1130895.9741607548,939396.8618698673,1233538.8442686019,casualties,russia
2025-08-28,1281,1075137.1142256272,1023671.1087139986,1129190.9416572142,938259.9329583527,1231982.5016160642,casualties,russia
2025-08-27,1280,1074027.662349845,1022903.4251778516,1127707.4304995171,937329.8371074185,1230661.1675964654,casualties,russia
2025-08-26,1279,1073048.2851054578,1022267.8053709863,1126351.6680607498,936522.0161622488,1229477.3872731375,casualties,russia
2025-08-25,1278,1072110.677392499,1021689.1982801635,1125020.964200749,935757.820179201,1228332.0545535437,casualties,russia
2025-08-24,1277,1071137.7298113124,1021073.8845676889,1123656.6959402424,934959.4035109014,1227150.6675795733,casualties,russia
2025-08-23,1276,1070174.1283992536,1020469.7308382407,1122299.9457246521,934169.7524039766,1225979.1939812084,casualties,russia
2025-08-22,1275,1069165.6278501858,1019816.3302921369,1120903.3633266103,933335.97674685,1224762.7615810928,casualties,russia
2025-08-21,1274,1067949.561181833,1018946.5440848398,1119309.5635168566,932303.9101844617,1223330.992851064,casualties,russia
2025-08-20,1273,1066470.86470261,1017799.2650971694,1117470.2388170965,931019.956432534,1221628.0638865852,casualties,russia
2025-08-19,1272,1064857.9841678364,1016501.1076459147,1115515.5094193243,929604.2889160097,1219790.5526157245,casualties,russia
2025-08-18,1271,1063251.6813782118,1015182.7976849943,1113596.80617574,928186.0247191562,1217971.51949908,casualties,russia
