date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2022-02-24,0,870.3028644850554,506.8574214924601,1494.359249393293,355.6409912304737,2129.7518975815724,deaths,russia
2022-02-25,1,1222.9308972475797,815.2535454635624,1834.4722175876923,558.58780487573,2677.394612607932,deaths,russia
2022-02-26,2,1677.0023370862793,1246.3386325364454,2256.4789096438485,833.3567540079924,3374.7093607474035,deaths,russia
2022-02-27,3,1720.7213708463112,1286.1180981376406,2302.1851884167595,859.4288849475068,3445.173984660821,deaths,russia
2022-02-28,4,1754.1536239578934,1316.1497402643472,2337.9216226769054,879.2852229060474,3499.495790768446,deaths,russia
2022-03-01,5,1795.7272405393107,1352.51577935672,2384.1764892004594,903.7419468859491,3568.094115279427,deaths,russia
2022-03-02,6,1815.3192189172235,1367.3075919923317,2410.1262114462975,914.6353545906702,3602.9482678865306,deaths,russia
2022-03-03,7,2308.4157840086805,1840.269638065887,2895.6536159890857,1218.3281725172892,4373.84897769389,deaths,russia
2022-03-04,8,2495.2635102481736,2012.543265997463,3093.767021445931,1332.7257273949836,4671.883987522603,deaths,russia
2022-03-05,9,2588.69407403908,2095.252034438983,3198.3441126973394,1389.3900092889344,4823.222395556651,deaths,russia
2022-03-06,10,2614.9009774673086,2115.359225872158,3232.409435867951,1404.6161936561707,4868.02526757231,deaths,russia
2022-03-07,11,2668.922979105633,2160.7681339543783,3296.582246130297,1436.9390240014538,4957.169197452933,deaths,russia
2022-03-08,12,2770.5655062568403,2250.130555876357,3411.3723776666147,1498.791765247867,5121.4807836836335,deaths,russia
2022-03-09,13,2916.5789284098146,2380.1943711276626,3573.8394934587004,1588.34540547326,5355.530740563061,deaths,russia
2022-03-10,14,2951.966246373832,2409.151887353673,3617.083989379512,1609.5312008084813,5414.063868630345,deaths,russia
2022-03-11,15,2964.9159274992553,2419.610554120009,3633.116264173297,1617.2581128530408,5435.574190214354,deaths,russia
2022-03-12,16,2987.2258074453443,2438.5496287663177,3659.3546915762295,1630.7829588999941,5471.922536329816,deaths,russia
2022-03-13,17,3025.478068387558,2470.6413640035835,3704.915523417438,1653.906311742799,5534.483711262106,deaths,russia
2022-03-14,18,3034.478565711866,2477.7072342328443,3716.363272683333,1659.2415427784535,5549.559800886825,deaths,russia
2022-03-15,19,3058.4056173683543,2498.916770046556,3743.159849287833,1673.97632120082,5587.800019560828,deaths,russia
2022-03-16,20,3072.6924663394993,2509.794672794954,3761.8372112429997,1682.3772913819353,5611.962929518713,deaths,russia
2022-03-17,21,3080.656097429209,2515.867391947578,3772.2345863710443,1687.0632271222537,5625.421642801313,deaths,russia
2022-03-18,22,3136.97340308178,2565.470823654576,3835.7879734622334,1721.7308424873565,5715.528750955017,deaths,russia
2022-03-19,23,3188.4046236398035,2611.6818543365052,3892.4817841682775,1753.6385497109989,5797.046401450874,deaths,russia
2022-03-20,24,3192.6559054373893,2614.6793499544196,3898.39455101901,1756.093441933489,5804.390294460363,deaths,russia
2022-03-21,25,3195.377819282211,2616.959055896777,3901.6427807510477,1757.7461916955042,5808.8246506805635,deaths,russia
2022-03-22,26,3198.442956820593,2619.3427188041705,3905.5742017240295,1759.5662885521178,5813.953935462804,deaths,russia
2022-03-23,27,3607.241235031554,2988.183558135883,4354.548197778505,2014.9464261898972,6457.833895026674,deaths,russia
2022-03-24,28,3609.434044544816,2990.120667660725,4357.01952192833,2016.3134601712507,6461.303948649253,deaths,russia
2022-03-25,29,3622.498423554459,3000.298898727866,4373.729175522649,2024.162043089909,6482.92703316524,deaths,russia
2022-03-26,30,3629.975843845546,3005.4929424327593,4384.214130357082,2028.516812975612,6495.74336412493,deaths,russia
2022-03-27,31,3660.9452711441536,3030.09529194893,4423.134913916308,2047.2353911519983,6546.6435057919825,deaths,russia
2022-03-28,32,3669.054004331288,3035.6754810911575,4434.583792158387,2051.9485634420303,6560.572485363752,deaths,russia
2022-03-29,33,3724.3929608688527,3084.353307381283,4497.248383891041,2086.470026559449,6648.119910853767,deaths,russia
2022-03-30,34,3747.9836070973993,3101.6196587260874,4529.046970523924,2100.4295227664993,6687.861204963859,deaths,russia
2022-03-31,35,3856.5383233409852,3196.759791804919,4652.488397009126,2168.2223849867155,6859.484498629419,deaths,russia
2022-04-01,36,3991.3840353809555,3318.4533709147013,4800.774558873095,2253.4142272353615,7069.781634173552,deaths,russia
2022-04-02,37,4037.4334889502466,3356.7245105444777,4856.183200763436,2281.8357867885843,7143.752092975332,deaths,russia
2022-04-03,38,4611.053418873384,3948.0993279681975,5385.328955906954,2661.7884669800214,7987.792379244503,deaths,russia
2022-04-04,39,4648.3591362892785,3977.608048667641,5432.220167384686,2684.840054761082,8047.86960087527,deaths,russia
2022-04-05,40,4987.152378320396,4413.489852016854,5635.379184846442,2924.2986112401813,8505.18095142096,deaths,russia
2022-04-06,41,5074.085512286125,4524.297505062167,5690.683196050826,2984.9818593294176,8625.293217619728,deaths,russia
2022-04-07,42,5094.736433253656,4544.969399792203,5711.004198512077,2998.5684166648175,8656.243819573188,deaths,russia
2022-04-08,43,5126.440402000726,4576.2968230614915,5742.71997892044,3019.375579104997,8703.915927893739,deaths,russia
2022-04-09,44,5181.189754948654,4631.212525694763,5796.479243361373,3055.441500151522,8785.875061084833,deaths,russia
2022-04-10,45,5231.753148670743,4677.151179454068,5852.11808608271,3088.1027527904334,8863.448919856493,deaths,russia
2022-04-11,46,5286.574326154537,4727.439778740951,5911.8401109277775,3123.609187473526,8947.299879266078,deaths,russia
2022-04-12,47,5350.1476352354575,4783.4348146763095,5984.001209965797,3164.4925825169157,9045.39320994365,deaths,russia
2022-04-13,48,5391.732162781603,4823.474766364644,6026.936414779595,3191.7357772196556,9108.139816165278,deaths,russia
2022-04-14,49,5424.250232478624,4855.453988617201,6059.678591027844,3213.143427119272,9156.917906687717,deaths,russia
2022-04-15,50,5443.838011513859,4875.678840123547,6078.20434187011,3226.176944473618,9185.91038422986,deaths,russia
2022-04-16,51,5497.827833442097,4925.705841818211,6136.401940521349,3261.3201749813047,9268.059946412312,deaths,russia
2022-04-17,52,5556.688216731804,4980.164348752865,6199.952807922543,3299.6521537549875,9357.587557472822,deaths,russia
2022-04-18,53,5618.114152022351,5036.916676491491,6266.374580398945,3339.6765143017524,9450.977209914876,deaths,russia
2022-04-19,54,5670.437664462865,5084.859252643423,6323.451979490585,3373.74024402855,9530.628021369084,deaths,russia
2022-04-20,55,5718.478783908083,5118.712499424545,6388.520473787728,3403.60697765342,9607.748431798142,deaths,russia
2022-04-21,56,5773.070294774789,5170.8187199687545,6445.466846420883,3439.4899902274637,9689.907725594796,deaths,russia
2022-04-22,57,5824.675597669553,5220.148826022513,6499.21045334213,3473.4430791230566,9767.49727727011,deaths,russia
2022-04-23,58,5880.932606951122,5271.79575873027,6560.4530050744825,3510.1813553834813,9852.872209710236,deaths,russia
2022-04-24,59,5914.071966482641,5305.549450866841,6592.389261214274,3532.303627560098,9901.823544227802,deaths,russia
2022-04-25,60,5937.521650643553,5330.455757352452,6613.724033490728,3548.104060935916,9936.056763386365,deaths,russia
2022-04-26,61,5984.113767047567,5373.960622897449,6663.542978783673,3578.6745633915302,10006.39117713773,deaths,russia
2022-04-27,62,6035.902516729217,5422.36701139939,6718.858962306904,3612.682300320796,10084.506791040836,deaths,russia
