date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-07-04,1226,1048784.5761289762,892868.5814220452,1231941.1814576634,853496.9618070681,1288757.6243306322,casualties,russia
2025-07-03,1225,1047816.7255706823,892868.5814220452,1229660.2044191782,853296.1437823627,1286684.2089487426,casualties,russia
2025-07-02,1224,1046814.2816493711,892845.5994576561,1227343.232787322,853062.5867007596,1284576.8116369732,casualties,russia
2025-07-01,1223,1045770.5053150735,892783.7342185075,1224985.6033431194,852788.7807484238,1282430.1251549164,casualties,russia
2025-06-30,1222,1044736.0672241666,892713.8907342058,1222663.3527355443,852508.7657056161,1280317.0709556136,casualties,russia
2025-06-29,1221,1042686.2589360477,892613.3771593567,1218006.542798835,851984.5721811007,1276081.963473294,casualties,russia
2025-06-28,1220,1040625.0184460643,892431.6296759436,1213441.9587781348,851390.9212352504,1271927.391447831,casualties,russia
2025-06-27,1219,1038539.0008286538,892186.654616875,1208913.1107286487,850738.5177962454,1267804.1329083468,casualties,russia
2025-06-26,1218,1036464.5747794054,891924.7088483195,1204441.174214967,850069.8909347069,1263737.0800653743,casualties,russia
2025-06-25,1217,1034391.049434772,891609.6489871481,1200049.8344610997,849356.5212743297,1259742.317956726,casualties,russia
2025-06-24,1216,1032362.394023284,891323.5538618858,1195730.8390288816,848667.4124116463,1255824.6336696427,casualties,russia
2025-06-23,1215,1030324.0486969881,891016.6278073267,1191424.0319282217,847954.2977678068,1251922.3356659648,casualties,russia
2025-06-22,1214,1028316.5945828622,890733.6218445804,1187163.4536293244,847258.6981603694,1248072.6916308012,casualties,russia
2025-06-21,1213,1026296.1742497747,890438.3045352056,1182895.4076961365,846544.7086435785,1244221.6688381631,casualties,russia
2025-06-20,1212,1024305.1431551185,890142.4982931624,1178701.6246079307,845831.4212573568,1240443.7570974594,casualties,russia
2025-06-19,1211,1022285.3584283012,889812.0734671884,1174493.356268151,845080.1848304622,1236654.7063008414,casualties,russia
2025-06-18,1210,1020284.1935246771,889506.6103994027,1170300.6579974184,844344.5888184591,1232890.5524726403,casualties,russia
2025-06-17,1209,1018308.7513597641,889184.4034804455,1166195.2184724587,843597.2233632817,1229208.734078265,casualties,russia
2025-06-16,1208,1016367.6662922067,888917.6792164366,1162102.3340709803,842889.3083964884,1225555.4987401918,casualties,russia
2025-06-15,1207,1014397.9267539472,888629.3607845559,1157978.7824847992,842151.0461994566,1221880.3553155863,casualties,russia
2025-06-14,1206,1012440.5584051281,888373.5769968249,1153847.3988725,841430.4316182039,1218212.2624197016,casualties,russia
2025-06-13,1205,1010415.1532514595,888062.3348687461,1149638.553900024,840646.4873552914,1214474.576410527,casualties,russia
2025-06-12,1204,1008364.6297830704,887714.1600563107,1145425.9404432566,839823.6850065687,1210735.0667764978,casualties,russia
