Date,Estimate based on probate data,ED_high,ED_low,Flash estimate (by date of discovery),ED_prediction_high,ED_prediction_low,Number of confirmed deaths (by date of death)
21/02/2022,433.6135576,462.5151169,408.1324959,,,,426
28/02/2022,649.1108425,696.3138507,608.3885611,,,,592
07/03/2022,471.8677129,508.7437085,440.4047305,,,,567
14/03/2022,261.4565042,284.0865873,242.433994,,,,382
21/03/2022,380.5015931,409.7641941,355.2919582,,,,403
28/03/2022,419.9379921,454.2458989,390.8350398,,,,367
04/04/2022,217.799724,237.5389744,201.472582,,,,195
11/04/2022,129.5212784,137.3420028,122.4663456,,,,254
18/04/2022,254.4822255,270.1621066,240.2683353,,,,335
25/04/2022,315.8349131,340.5940398,294.8308752,,,,307
02/05/2022,288.2177216,311.8536272,268.1438861,,,,360
09/05/2022,271.3678341,295.0170228,251.3817019,,,,283
16/05/2022,315.9788448,337.0144109,297.4795017,,,,324
23/05/2022,357.787569,387.9222308,332.3747212,,,,324
30/05/2022,223.2933539,233.7999204,212.8537401,,,,278
06/06/2022,158.041176,167.3633073,149.5745086,,,,232
13/06/2022,76.37901271,80.18851173,72.7327836,,,,208
20/06/2022,224.443012,239.2914607,211.1852472,,,,309
27/06/2022,221.7960927,239.1656102,206.9554486,,,,276
04/07/2022,269.9280035,290.0050574,252.7330364,,,,295
11/07/2022,152.6677198,163.9121425,142.9984206,,,,193
18/07/2022,310.4309842,334.6976966,289.8425185,,,,252
25/07/2022,49.57022792,53.84611592,45.80429422,,,,128
01/08/2022,99.41636728,106.8913501,93.07692499,,,,169
08/08/2022,147.0786848,157.8506742,137.7912962,,,,185
15/08/2022,242.1284698,259.5659972,227.0807099,,,,230
22/08/2022,227.1206499,243.7205056,212.9388658,,,,206
29/08/2022,371.2540223,399.9953789,346.6064523,,,,408
05/09/2022,517.2601888,552.9638846,486.1028177,,,,406
12/09/2022,357.4480831,387.1738126,332.3950595,,,,324
19/09/2022,513.0401951,553.0987543,478.7910721,,,,442
26/09/2022,706.9030055,768.0660579,655.6665224,,,,546
03/10/2022,690.4851072,743.9778654,644.7972778,,,,575
10/10/2022,321.1951424,340.0150316,304.178136,,,,491
17/10/2022,488.6464336,520.9985337,460.2286425,,,,511
24/10/2022,682.9082675,726.0554782,644.7862009,,,,644
31/10/2022,1002.778565,1075.378465,940.1429774,,,,686
07/11/2022,932.1445331,1002.56908,871.8448834,,,,625
14/11/2022,738.8391752,789.8203211,694.4692971,,,,579
21/11/2022,537.4235971,577.5027665,502.9980092,,,,545
28/11/2022,741.5143628,797.1926364,693.8518185,,,,773
05/12/2022,943.4153966,1013.482444,883.5338645,,,,703
12/12/2022,666.6374351,719.9240609,621.6918719,,,,652
19/12/2022,818.4106331,881.4421329,764.7349098,,,,713
26/12/2022,916.0101977,982.7404474,858.2609712,,,,875
02/01/2023,961.1513426,1033.569973,899.3995004,,,,991
09/01/2023,764.4505344,819.9267792,716.6735243,,,,1024
16/01/2023,817.1949123,877.1033566,765.7575211,,,,930
23/01/2023,967.1228144,1036.515478,907.2820328,,,,1057
30/01/2023,1253.204264,1347.605775,1172.363176,,,,1163
06/02/2023,1459.037894,1569.449996,1364.850319,,,,1127
13/02/2023,1043.255686,1114.581994,981.2162611,,,,925
20/02/2023,944.544614,1010.500031,887.1415879,,,,902
27/02/2023,904.3488936,963.1223978,852.680871,,,,984
06/03/2023,977.5552973,1045.659468,918.460268,,,,924
13/03/2023,1113.151088,1198.215931,1040.827185,,,,947
20/03/2023,1148.367993,1233.785034,1075.282651,,,,1062
27/03/2023,683.8166669,733.1495817,641.2088006,,,,729
03/04/2023,619.3661839,661.8855274,582.4250289,,,,634
10/04/2023,532.2827294,570.0868193,499.7199499,,,,556
17/04/2023,626.6929603,672.413288,587.4231018,,,,635
24/04/2023,551.8338966,587.8400561,520.3032254,,,,568
01/05/2023,503.6257142,535.8110868,475.2108122,,,,590
08/05/2023,801.5994761,856.6444088,753.6514905,,,,792
15/05/2023,735.9991887,788.0120656,690.947972,,,,608
22/05/2023,637.2164813,683.6854546,597.3470881,,,,454
29/05/2023,672.4816251,718.7637244,632.266052,,,,577
05/06/2023,1082.378521,1164.237152,1012.600501,,,,667
12/06/2023,1088.292939,1164.716658,1021.95277,,,,734
19/06/2023,945.904628,1014.832169,886.6367511,,,,695
26/06/2023,1072.356575,1152.349807,1003.804816,,,,633
03/07/2023,849.4335313,907.6227273,798.5212119,,,,574
10/07/2023,743.623943,795.2436232,698.9400739,,,,535
17/07/2023,770.0993495,821.3924798,725.1991997,,,,650
24/07/2023,852.6186437,918.0440465,796.8420539,,,,468
31/07/2023,931.2081968,1001.493077,871.2516342,,,,557
07/08/2023,770.4893454,827.7286631,721.5582762,,,,439
14/08/2023,875.8708342,943.004159,818.7086411,,,,462
21/08/2023,812.4713457,873.9524481,759.9393431,,,,544
28/08/2023,812.6983998,870.2748245,762.8039084,,,,546
04/09/2023,801.2951818,858.7597686,751.796538,,,,538
11/09/2023,856.6318737,921.9600824,800.8033588,,,,489
18/09/2023,748.5162827,804.7263074,700.4798638,,,,502
25/09/2023,800.683644,860.6194747,749.2273295,,,,449
02/10/2023,1118.737292,1202.21318,1047.268986,,,,583
09/10/2023,1868.131301,2014.260608,1744.135854,,,,998
16/10/2023,1582.033546,1701.498357,1480.089219,,,,975
23/10/2023,1410.800833,1517.326766,1319.896669,,,,827
30/10/2023,1406.434138,1516.450814,1313.196574,,,,807
06/11/2023,1242.01904,1337.196637,1160.872553,,,,797
13/11/2023,1465.473264,1578.812247,1369.116606,,,,791
20/11/2023,1235.865728,1324.867807,1159.35269,,,,727
27/11/2023,1855.202054,1997.196674,1734.309822,,,,988
04/12/2023,1598.006443,1720.557212,1493.735151,,,,921
11/12/2023,1645.126114,1770.004766,1538.514485,,,,879
18/12/2023,1549.407801,1673.63236,1444.311531,,,,843
25/12/2023,1408.490656,1515.105356,1317.377993,,,,889
01/01/2024,1488.895915,1609.967226,1386.795752,,,,658
08/01/2024,1096.951353,1184.389491,1022.957395,,,,719
15/01/2024,1361.437334,1464.918292,1273.408483,,,,905
22/01/2024,1525.681611,1644.633003,1424.852063,,,,876
29/01/2024,1174.369909,1265.094031,1097.247698,,,,775
05/02/2024,1308.306805,1412.655146,1220.089732,,,,826
12/02/2024,1614.714962,1735.913976,1511.192349,,,,1017
19/02/2024,2010.400796,2162.2645,1880.771451,,,,1191
26/02/2024,1793.754314,1934.955146,1673.994484,,,,1083
04/03/2024,1580.794353,1705.301108,1475.303943,,,,952
11/03/2024,1455.985307,1568.763145,1360.248896,,,,852
18/03/2024,1535.458585,1655.183424,1433.829097,,,,869
25/03/2024,1195.191807,1293.497328,1112.303382,,,,748
01/04/2024,1532.792106,1647.836242,1434.53634,,,,793
08/04/2024,1443.60555,1560.977184,1344.840461,,,,781
15/04/2024,1459.892184,1577.854961,1360.466885,,,,768
22/04/2024,1571.66968,1689.166925,1471.235661,,,,848
29/04/2024,1729.289479,1867.922905,1612.406917,,,,881
06/05/2024,1828.465747,1969.804799,1708.264075,,,,988
13/05/2024,1716.567382,1843.739392,1607.586616,,,,982
20/05/2024,1674.741776,1804.836902,1563.979848,,,,982
27/05/2024,1535.702916,1656.48085,1433.292343,,,,930
03/06/2024,1444.520616,1555.27461,1350.142486,,,,857
10/06/2024,1292.522059,1397.148235,1204.17006,,,,786
17/06/2024,1629.004143,1755.324909,1521.529585,,,,893
24/06/2024,1709.301792,1842.373917,1596.144743,,,,929
01/07/2024,1735.739954,1872.516876,1619.815206,,,,926
08/07/2024,1614.754181,1737.92362,1509.786046,,,,913
