Date,Число погибших в поименных списках,Оценка на основе данных РНД,ED_high,ED_low,"Оперативная оценка, обучающий период",ED_prediction_high,ED_prediction_low,"Оперативная оценка, прогноз",ED_onlyprediction_high,ED_onlyprediction_low
2022-02-21,6.0,673.8929164029204,782.2852441326482,598.5907544486176,9.832867540118158,10.961617568064055,8.916904680268164,,,
2022-02-28,112.0,1696.0247379049288,1971.4063489263258,1506.4503959849544,189.1771494984273,215.15035599913784,169.49004848874554,,,
2022-03-07,355.0,2513.207798521558,2946.33546056281,2224.3248766597344,518.6168858414297,593.1776513198307,464.03006424370255,,,
2022-03-14,746.0,2946.974014397946,3458.729825571305,2607.0080251256895,1071.3865370950825,1229.0522013795069,957.2046228380684,,,
2022-03-21,1148.0,3503.4158965623865,4105.708003532989,3100.72442221369,1609.1334067677828,1845.628218930598,1438.2732415958935,,,
2022-03-28,1463.0,4038.196010482573,4723.674069160362,3577.059462020902,1982.7925135994224,2276.2398284638207,1772.2333981874094,,,
2022-04-04,1737.0,4293.867776237878,5033.855435796561,3799.0687942582417,2341.380080805233,2686.8361053483827,2093.39454368561,,,
2022-04-11,1935.0,4537.838001917413,5314.45510734679,4016.2450910045836,2621.352657019982,3010.4122596593525,2342.4548749014525,,,
2022-04-18,2125.0,4859.876080383307,5697.614818209509,4298.482246549333,2863.0323444893365,3290.4554413446162,2557.505457565371,,,
2022-04-25,2412.0,5171.212945277585,6051.173751628454,4577.433919297692,3266.3867884000574,3760.058564555855,2914.849212068659,,,
2022-05-02,2679.0,5452.514523531236,6394.146888426979,4821.17727934761,3668.313050908005,4226.860134643182,3271.0378617893884,,,
2022-05-09,2961.0,5672.8972566513185,6652.316838448356,5015.1324107812925,4057.2116302251634,4673.388058916582,3618.395920158934,,,
2022-05-16,3225.0,5921.012161904969,6943.326228509312,5233.894325202405,4459.583071286839,5143.345077041291,3973.7466276030173,,,
2022-05-23,3532.0,6166.690802935303,7240.450156890145,5446.76173936684,4930.710799436285,5687.948091557636,4392.332028520617,,,
2022-05-30,3830.0,6357.335542721752,7465.4846315741825,5614.243559051998,5386.124695170858,6212.260766030961,4797.94539122428,,,
2022-06-06,4092.0,6562.56537930359,7698.8313805972375,5796.7544232210485,5779.25689552653,6664.572013132498,5148.316906154019,,,
2022-06-13,4333.0,6696.898213493557,7846.69953612747,5917.91900781178,6143.104617706114,7090.343556452322,5469.279401299775,,,
2022-06-20,4610.0,6997.517826376057,8185.920971244594,6187.212134097817,6609.08449617755,7640.6197401911295,5877.453462117832,,,
2022-06-27,4851.0,7223.171052245141,8451.585908317353,6385.623824515699,7003.082694044786,8098.179427520273,6226.281126257137,,,
2022-07-04,5091.0,7495.5779142458805,8759.385268791297,6630.1444610638,7408.865521967301,8566.985348833523,6586.5574775687355,,,
2022-07-11,5297.0,7672.184485207311,8962.883559173619,6785.78697353017,7777.404942715327,8995.01144522975,6912.514668383947,,,
2022-07-18,5505.0,8000.826838190382,9353.079111092147,7072.758922303506,8108.974557330993,9376.730801349788,7207.678600600088,,,
2022-07-25,5679.0,8135.857017960122,9526.82622974233,7186.160048607722,8421.955469445948,9744.238761991004,7482.541206550738,,,
