date,estimate_low,estimate_high,estimate,type,source,source_url,country,"ignore for chart, data from warring parties"
06/02/2024,,,42152,deaths,UAlosses,https://ualosses.org/soldiers/,ukraine,
01/03/2024,,,407345,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
01/04/2024,,,435555,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
01/05/2024,,,462525,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
03/05/2024,,,150000,deaths,French foreign minister,https://www.france24.com/en/europe/20240503-france-estimates-that-150-000-russian-soldiers-have-been-killed-in-the-ukraine-war,russia,
03/05/2024,,,500000,casualties,French foreign minister,https://www.france24.com/en/europe/20240503-france-estimates-that-150-000-russian-soldiers-have-been-killed-in-the-ukraine-war,russia,
30/05/2024,,,465000,casualties,UK Foreign ministry,"https://www.gov.uk/government/speeches/over-465000-russian-personnel-killed-or-wounded-since-2022-a-terrible-human-loss-for-russians-uk-statement-to-the-osce#:~:text=Speech-,Over%20465%2C000%20Russian%20personnel%20killed%20or%20wounded%20since%202022%20%E2%80%93%20a,no%20closer%20to%20subjugating%20Ukraine.",russia,
31/05/2024,,,500000,casualties,UK Ministry of Defence,https://x.com/DefenceHQ/status/1796467954907037817,russia,
01/06/2024,,,501647,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
13/06/2024,350000,,,casualties,US Sec of Def,"https://www.defense.gov/News/Speeches/Speech/Article/3805429/opening-remarks-by-secretary-of-defense-lloyd-j-austin-iii-at-the-23rd-ukraine/#:~:text=And%20Ukraine's%20defenders%20have%20inflicted,vessels%20in%20the%20Black%20Sea.",russia,
14/06/2024,113000,,,deaths,BBC Russia,https://www.bbc.com/russian/articles/cn448rvzzl6o,russia,
21/06/2024,106000,"140,000",120000,deaths,Mediazona; Meduza,"(new to this piece, via email from Alexandr at Meduza)",russia,
27/06/2024,,,350000,casualties,US officials (via NYT),https://www.nytimes.com/2024/06/27/us/politics/russia-casualties-ukraine-war.html,russia,
01/07/2024,,,536537,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
01/08/2024,,,571877,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
01/09/2024,,,608674,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
17/9/2024,,,80000,deaths,Ukrainian estimate (leak via WSJ),https://www.wsj.com/world/one-million-are-now-dead-or-injured-in-the-russia-ukraine-war-b09d04e5,ukraine,
17/9/2024,,,480000,casualties,Ukrainian estimate (leak via WSJ),https://www.wsj.com/world/one-million-are-now-dead-or-injured-in-the-russia-ukraine-war-b09d04e5,ukraine,
01/10/2024,,,646804,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
10/10/2024,57500,,,deaths,US officials (via NYT),https://www.nytimes.com/2024/10/10/us/politics/russia-casualties-ukraine-war.html,ukraine,
10/10/2024,,,307500,casualties,US officials (via NYT),https://www.nytimes.com/2024/10/10/us/politics/russia-casualties-ukraine-war.html,ukraine,
10/10/2024,,,615000,casualties,US officials (via NYT),https://www.nytimes.com/2024/10/10/us/politics/russia-casualties-ukraine-war.html,russia,
10/10/2024,,,115000,deaths,US officials (via NYT),https://www.nytimes.com/2024/10/10/us/politics/russia-casualties-ukraine-war.html,russia,
