date,cloud_cover_in_country,cloud_cover_in_east_of_country,fires_per_day,war_fires_per_day,fires_per_day_in_ukraine_held_area,war_fires_per_day_in_ukraine_held_area,fires_per_day_in_russia_held_area,war_fires_per_day_in_russia_held_area,fires_per_day_non_cloud_days_7dma,fires_per_day_7dma,war_fires_per_day_non_cloud_days_7dma,war_fires_per_day_7dma,fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,fires_per_day_in_ukraine_held_area_7dma,war_fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,war_fires_per_day_in_ukraine_held_area_7dma,fires_per_day_in_russia_held_area_non_cloud_days_7dma,fires_per_day_in_russia_held_area_7dma,war_fires_per_day_in_russia_held_area_non_cloud_days_7dma,war_fires_per_day_in_russia_held_area_7dma
2022-02-23,0.555,0.403,0,0,0,0,0,0,0,82.25,0,12.5,0,47.5,0,0,0,34.75,0,12.5
2022-02-24,0.795,0.737,100,30,48,0,52,30,0,78.2,0,11.8,0,46.8,0,1,0,31.4,0,10.8
2022-02-25,0.591,0.622,125,1,96,0,29,1,0,84.5,0,11,0,50.666666666666664,0,1.5,0,33.833333333333336,0,9.5
2022-02-26,0.649,0.702,104,19,46,0,58,19,0,73,0,9.428571428571429,0,43.714285714285715,0,1.2857142857142858,0,29.285714285714285,0,8.142857142857142
2022-02-27,0.741,0.751,62,9,44,5,18,4,NA,73.14285714285714,NA,9.428571428571429,NA,43.857142857142854,NA,1.2857142857142858,NA,29.285714285714285,NA,8.142857142857142
2022-02-28,0.608,0.66,116,7,70,4,46,3,NA,59.28571428571429,NA,5.142857142857143,NA,37.42857142857143,NA,1.2857142857142858,NA,21.857142857142858,NA,3.8571428571428568
2022-03-01,0.971,0.999,4,0,2,0,2,0,NA,42.28571428571429,NA,5,NA,24.571428571428573,NA,1.2857142857142858,NA,17.714285714285715,NA,3.714285714285714
2022-03-02,0.983,0.979,1,0,1,0,0,0,NA,27.428571428571427,NA,2.2857142857142856,NA,18,NA,1.2857142857142858,NA,9.428571428571429,NA,1
2022-03-03,0.975,1,3,0,3,0,0,0,NA,23.142857142857142,NA,1.142857142857143,NA,16.285714285714285,NA,0.7142857142857142,NA,6.857142857142858,NA,0.4285714285714286
2022-03-04,0.964,0.963,6,0,6,0,0,0,NA,7.142857142857143,NA,0.28571428571428575,NA,6.857142857142857,NA,0.28571428571428575,NA,0.28571428571428575,NA,0
2022-03-05,0.986,0.997,0,0,0,0,0,0,NA,8.285714285714286,NA,0.5714285714285714,NA,8.142857142857142,NA,0.5714285714285714,NA,0.14285714285714288,NA,0
2022-03-06,0.876,0.85,32,1,32,1,0,0,NA,18.857142857142858,NA,1.2857142857142858,NA,18,NA,1.2857142857142858,NA,0.8571428571428572,NA,0
2022-03-07,0.986,0.983,4,1,4,1,0,0,NA,25.142857142857142,NA,2,NA,24,NA,2,NA,1.142857142857143,NA,0
2022-03-08,0.967,0.974,12,2,11,2,1,0,NA,69.85714285714286,NA,9,NA,61.42857142857142,NA,8.142857142857144,NA,8.428571428571427,NA,0.8571428571428572
2022-03-09,0.778,0.872,75,5,70,5,5,0,176,95,13,10.857142857142856,152,83.14285714285714,13,10,24,11.857142857142856,0,0.8571428571428572
2022-03-10,0.784,0.725,47,5,45,5,2,0,179,116.42857142857144,20.5,14.714285714285714,133,94.85714285714286,13.5,11.857142857142858,46,21.571428571428573,7,2.8571428571428568
2022-03-11,0.514,0.641,319,49,268,43,51,6,179,193,20.5,26,133,165.71428571428572,13.5,22.714285714285715,46,27.285714285714285,7,3.2857142857142856
2022-03-12,0.376,0.343,176,13,152,13,24,0,422.6666666666667,321.28571428571433,39,36.57142857142857,366.6666666666667,283.28571428571433,27,30.142857142857142,56,38,12,6.428571428571429
2022-03-13,0.634,0.469,182,28,114,14,68,14,417.25,367.8571428571428,37.5,40.57142857142857,359,321.2857142857143,25.25,32.285714285714285,58.25,46.57142857142857,12.25,8.285714285714285
2022-03-14,0.522,0.681,540,80,500,77,40,3,502,481.2857142857143,50.6,54.57142857142857,445.6,428,37,43.57142857142857,56.4,53.285714285714285,13.6,11
2022-03-15,0.162,0.214,910,76,834,54,76,22,502,575.8571428571429,50.6,58.42857142857143,445.6,519.7142857142857,37,47.142857142857146,56.4,56.142857142857146,13.6,11.285714285714285
2022-03-16,0.489,0.35,401,33,336,20,65,13,825,806.5714285714286,95.2,90.28571428571428,702.4,703.1428571428571,67.6,69,122.6,103.42857142857142,27.6,21.285714285714285
2022-03-17,0.409,0.448,841,103,792,84,49,19,1080.4,989,159.4,136.14285714285714,899.4,843.8571428571429,107.2,97.28571428571428,181,145.14285714285714,52.2,38.857142857142854
2022-03-18,0.394,0.579,981,76,910,68,71,8,1266.1666666666667,1225.428571428571,169.16666666666666,155.85714285714286,1020.3333333333334,1004.5714285714286,111,104.85714285714286,245.83333333333331,220.85714285714283,58.16666666666667,51
2022-03-19,0.103,0.146,1791,236,1436,166,355,70,1426.5,1362.857142857143,183.83333333333337,168.42857142857144,1114.1666666666667,1085,116.66666666666669,109.71428571428572,312.3333333333333,277.85714285714283,67.16666666666667,58.714285714285715
2022-03-20,0.288,0.312,1459,349,1099,212,360,137,1826.5,1705.7142857142858,237.83333333333337,214.71428571428572,1403,1332.571428571429,148.66666666666666,137.14285714285714,423.5,373.1428571428572,89.16666666666667,77.57142857142857
2022-03-21,0.036,0.056,2195,218,1625,130,570,88,2012.5,1865.142857142857,279.8333333333333,250.71428571428572,1495,1411.428571428571,160,146.85714285714286,517.5,453.7142857142857,119.83333333333331,103.85714285714286
2022-03-22,0.025,0.039,1872,164,1397,88,475,76,1909.2857142857144,1909.2857142857144,263,263,1384.7142857142858,1384.7142857142858,142,142,524.5714285714286,524.5714285714286,121,121
2022-03-23,0.004,0.003,2801,357,2069,212,732,145,1898.571428571429,1898.571428571429,275.42857142857144,275.42857142857144,1311.142857142857,1311.142857142857,130.57142857142858,130.57142857142858,587.4285714285714,587.4285714285714,144.85714285714286,144.85714285714286
2022-03-24,0.073,0.039,1957,355,1344,152,613,203,1971.8333333333333,1727.571428571429,263.1666666666667,229.57142857142856,1346.5,1187.857142857143,117,103.71428571428572,625.3333333333334,539.7142857142857,146.16666666666666,125.85714285714286
2022-03-25,0.285,0.184,1290,162,723,34,567,128,1843.8333333333333,1617.857142857143,249.16666666666663,217.57142857142856,1284.5,1134.7142857142858,111.83333333333331,99.28571428571428,559.3333333333334,483.1428571428572,137.33333333333334,118.28571428571428
2022-03-26,0.206,0.195,1716,323,921,86,795,237,1746.6666666666667,1534.571428571429,273.3333333333333,238.28571428571428,1211,1071.7142857142858,137.66666666666666,121.42857142857144,535.6666666666666,462.8571428571428,135.66666666666666,116.85714285714286
2022-03-27,0.656,0.797,262,28,236,24,26,4,1535.8,1197.2857142857142,256.6,196,1039.4,815.7142857142857,122.8,94.57142857142856,496.4,381.57142857142856,133.8,101.42857142857142
2022-03-28,0.28,0.315,1427,134,1253,99,174,35,1430.5,939.4285714285714,232,148.85714285714286,963.25,635.5714285714286,115.5,75.28571428571429,467.25,303.85714285714283,116.5,73.57142857142858
2022-03-29,0.412,0.294,1289,309,956,243,333,66,1477.3333333333333,791.2857142857143,255.33333333333337,129.71428571428572,1043.3333333333333,555.2857142857143,142.66666666666666,71.85714285714286,434,236,112.66666666666669,57.857142857142854
2022-03-30,0.678,0.605,440,61,277,24,163,37,1358,590.2857142857143,221.5,97.71428571428572,1104.5,443.42857142857144,171,66.71428571428571,253.5,146.85714285714286,50.5,31
2022-03-31,0.884,0.846,152,25,83,17,69,8,1358,566.1428571428571,221.5,94.57142857142858,1104.5,411.1428571428572,171,63.57142857142858,253.5,155,50.5,31
2022-04-01,0.679,0.599,253,28,161,10,92,18,1289,365.28571428571433,309,75.85714285714286,956,233.7142857142857,243,49.857142857142854,333,131.57142857142858,66,26
2022-04-02,0.779,0.663,309,99,138,50,171,49,NA,189.57142857142856,NA,32.42857142857143,NA,99.42857142857142,NA,15.142857142857142,NA,90.14285714285714,NA,17.285714285714285
2022-04-03,0.938,0.915,93,6,10,2,83,4,NA,150.71428571428572,NA,26.857142857142858,NA,73,NA,12.857142857142856,NA,77.71428571428571,NA,14
2022-04-04,0.779,0.756,21,3,11,3,10,0,523,203.71428571428572,48,30.142857142857142,206,90.57142857142856,13,12.285714285714286,317,113.14285714285714,35,17.857142857142858
2022-04-05,0.78,0.705,59,5,16,0,43,5,523,210.57142857142856,48,35.57142857142857,206,85.57142857142857,13,14.714285714285714,317,125,35,20.857142857142858
2022-04-06,0.648,0.613,168,22,92,8,76,14,523,186.8571428571429,48,26,206,72.57142857142857,13,8,317,114.28571428571428,35,18
2022-04-07,0.317,0.155,523,48,206,13,317,35,523,183.1428571428571,48,25.571428571428573,206,72.71428571428571,13,7.714285714285714,317,110.42857142857144,35,17.857142857142858
2022-04-08,0.692,0.753,301,66,126,27,175,39,523,202.28571428571428,48,26.714285714285715,206,76,13,7.428571428571429,317,126.28571428571428,35,19.285714285714285
2022-04-09,0.723,0.639,143,32,47,3,96,29,523,195.28571428571428,48,26,206,75.14285714285714,13,7.428571428571429,317,120.14285714285714,35,18.571428571428573
2022-04-10,0.805,0.706,67,3,11,0,56,3,523,186.14285714285717,48,23.428571428571427,206,76.85714285714286,13,6.857142857142857,317,109.28571428571428,35,16.571428571428573
2022-04-11,0.818,0.762,155,11,34,1,121,10,NA,148.71428571428572,NA,19.714285714285715,NA,82.71428571428571,NA,7.7142857142857135,NA,66,NA,12
2022-04-12,0.927,0.917,10,0,10,0,0,0,263,143.28571428571428,8,11.428571428571429,242,99.28571428571428,7,4.857142857142857,21,44,1,6.571428571428572
2022-04-13,0.781,0.987,104,4,104,4,0,0,263,126,8,6.857142857142857,242,93.85714285714286,7,4.428571428571429,21,32.142857142857146,1,2.4285714285714284
2022-04-14,0.75,0.95,261,22,247,19,14,3,263,117.71428571428572,8,6.428571428571429,242,93.28571428571428,7,4.428571428571429,21,24.428571428571427,1,2
2022-04-15,0.309,0.351,263,8,242,7,21,1,263,96.57142857142856,8,5.285714285714286,242,88.71428571428571,7,4.285714285714286,21,7.857142857142857,1,1
2022-04-16,0.869,0.823,22,0,9,0,13,0,263,110,8,5.7142857142857135,242,100.28571428571428,7,4.2857142857142865,21,9.714285714285714,1,1.4285714285714286
2022-04-17,0.973,0.996,9,0,7,0,2,0,263,104.14285714285714,8,6.2857142857142865,242,90.42857142857142,7,4.428571428571429,21,13.714285714285714,1,1.8571428571428572
2022-04-18,0.98,0.99,7,3,2,0,5,3,263,68.57142857142857,8,3.5714285714285716,242,56.42857142857142,7,2,21,12.142857142857142,1,1.5714285714285714
2022-04-19,0.75,0.849,104,3,91,0,13,3,NA,32.857142857142854,NA,3,NA,23,NA,1.5714285714285716,NA,9.857142857142858,NA,1.4285714285714286
2022-04-20,0.917,0.951,63,8,35,5,28,3,NA,32.42857142857143,NA,3,NA,23.571428571428573,NA,1.5714285714285714,NA,8.857142857142858,NA,1.4285714285714286
