date,cloud_cover_in_country,cloud_cover_in_east_of_country,fires_per_day,war_fires_per_day,fires_per_day_in_ukraine_held_area,war_fires_per_day_in_ukraine_held_area,fires_per_day_in_russia_held_area,war_fires_per_day_in_russia_held_area,fires_per_day_non_cloud_days_7dma,fires_per_day_7dma,war_fires_per_day_non_cloud_days_7dma,war_fires_per_day_7dma,fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,fires_per_day_in_ukraine_held_area_7dma,war_fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,war_fires_per_day_in_ukraine_held_area_7dma,fires_per_day_in_russia_held_area_non_cloud_days_7dma,fires_per_day_in_russia_held_area_7dma,war_fires_per_day_in_russia_held_area_non_cloud_days_7dma,war_fires_per_day_in_russia_held_area_7dma
2022-04-21,0.92,0.933,12,3,9,2,3,1,NA,42,NA,5.428571428571429,NA,28.428571428571427,NA,2.7142857142857144,NA,13.571428571428571,NA,2.7142857142857144
2022-04-22,0.942,0.914,13,4,8,4,5,0,113,57.142857142857146,13,6.857142857142857,67,37.714285714285715,11,4.285714285714286,46,19.428571428571427,2,2.5714285714285716
2022-04-23,0.847,0.848,19,0,13,0,6,0,159.5,71.71428571428571,16.5,9.285714285714286,78.5,37.57142857142857,6,4.428571428571429,81,34.142857142857146,10.5,4.857142857142857
2022-04-24,0.518,0.558,76,17,41,8,35,9,155,83.57142857142857,15.333333333333334,10,78,43.57142857142857,4,3.7142857142857144,77,40,11.333333333333334,6.285714285714286
2022-04-25,0.394,0.261,113,13,67,11,46,2,142.5,96.85714285714286,11.75,9.714285714285714,76,52.285714285714285,3,3.4285714285714284,66.5,44.57142857142857,8.75,6.285714285714286
2022-04-26,0.502,0.292,206,20,90,1,116,19,142.5,102.71428571428572,11.75,10,76,58.285714285714285,3,3.7142857142857144,66.5,44.42857142857143,8.75,6.285714285714286
2022-04-27,0.622,0.472,146,13,77,0,69,13,142.5,107.85714285714286,11.75,10.857142857142858,76,62.42857142857143,3,4.142857142857143,66.5,45.42857142857143,8.75,6.714285714285714
2022-04-28,0.469,0.371,105,1,70,0,35,1,131.6,109.57142857142856,11.2,9.714285714285715,74.2,66.14285714285714,3.8,4,57.4,43.42857142857143,7.4,5.7142857142857135
2022-04-29,0.669,0.706,54,6,50,6,4,0,128,107,9.2,8.285714285714286,75,66.71428571428571,1.8,2.5714285714285716,53,40.28571428571429,7.4,5.7142857142857135
2022-04-30,0.559,0.591,55,6,42,3,13,3,131.8,109.71428571428572,13,11,89.4,77,6.6,6,42.4,32.714285714285715,6.4,5
2022-05-01,0.414,0.475,88,9,67,7,21,2,135.2,112.14285714285714,16.2,13.285714285714286,97,82.42857142857143,10.6,8.857142857142858,38.2,29.714285714285715,5.6,4.428571428571429
2022-05-02,0.389,0.392,95,3,71,1,24,2,280.8,216.14285714285717,35.6,27.142857142857142,196.6,153.57142857142858,23.4,18,84.2,62.57142857142858,12.2,9.142857142857142
2022-05-03,0.484,0.479,225,39,162,25,63,14,352.6666666666667,310.14285714285717,53,46.28571428571429,245.66666666666669,216.57142857142856,31.666666666666664,27.571428571428573,107,93.57142857142856,21.333333333333336,18.714285714285715
2022-05-04,0.562,0.453,163,29,115,20,48,9,392.2857142857143,392.2857142857143,60.57142857142857,60.57142857142857,252.8571428571429,252.8571428571429,30.857142857142858,30.857142857142858,139.42857142857142,139.42857142857142,29.71428571428571,29.71428571428571
2022-05-05,0.115,0.128,833,98,568,64,265,34,434.42857142857144,434.42857142857144,62.714285714285715,62.714285714285715,268.85714285714283,268.85714285714283,32.142857142857146,32.142857142857146,165.57142857142858,165.57142857142858,30.571428571428573,30.571428571428573
2022-05-06,0.119,0.093,712,140,491,73,221,67,490,490,74.42857142857143,74.42857142857143,285.85714285714283,285.85714285714283,38,38,204.1428571428571,204.1428571428571,36.42857142857143,36.42857142857143
2022-05-07,0.358,0.107,630,106,296,26,334,80,518.4285714285714,518.4285714285714,77.85714285714286,77.85714285714286,299.14285714285717,299.14285714285717,35.57142857142857,35.57142857142857,219.28571428571428,219.28571428571428,42.285714285714285,42.285714285714285
2022-05-08,0.221,0.169,383,24,179,16,204,8,526.5714285714286,526.5714285714286,79.71428571428571,79.71428571428571,306.14285714285717,306.14285714285717,36,36,220.42857142857144,220.42857142857144,43.714285714285715,43.714285714285715
2022-05-09,0.421,0.359,484,85,190,42,294,43,526.8571428571429,526.8571428571429,91.57142857142856,91.57142857142856,312,312,38,38,214.8571428571429,214.8571428571429,53.57142857142857,53.57142857142857
2022-05-10,0.28,0.389,424,63,255,8,169,55,449,449,79.71428571428571,79.71428571428571,255.71428571428572,255.71428571428572,31.714285714285715,31.714285714285715,193.28571428571428,193.28571428571428,48,48
2022-05-11,0.263,0.38,220,42,164,23,56,19,418.8333333333333,361.8571428571428,75.33333333333333,64.57142857142857,249,215.8571428571429,32.666666666666664,28,169.83333333333334,146,42.666666666666664,36.57142857142857
2022-05-12,0.033,0.045,835,181,609,78,226,103,426,314.7142857142857,85.6,62.285714285714285,263,196.8571428571429,36,26.428571428571427,163,117.85714285714286,49.6,35.857142857142854
2022-05-13,0.535,0.378,167,57,97,29,70,28,366,271.85714285714283,76.6,55.857142857142854,252.6,189.42857142857144,33.8,24.857142857142858,113.4,82.42857142857143,42.8,31
2022-05-14,0.831,0.843,20,0,17,0,3,0,351.5,263,80,59,252,200.85714285714283,40.25,35.714285714285715,99.5,62.142857142857146,39.75,23.28571428571429
2022-05-15,0.729,0.747,53,8,46,5,7,3,395.3333333333333,243.85714285714283,92.66666666666669,56.71428571428571,281.3333333333333,189.28571428571428,46,36,114,54.57142857142858,46.666666666666664,20.71428571428571
2022-05-16,0.442,0.354,184,40,138,31,46,9,175.5,139.14285714285714,48.5,33.714285714285715,117.5,114.42857142857144,30,27.428571428571427,58,24.714285714285715,18.5,6.2857142857142865
2022-05-17,0.428,0.591,362,85,335,84,27,1,174,138.71428571428572,37,30.428571428571427,117,114.28571428571428,24,25.714285714285715,57,24.428571428571427,13,4.7142857142857135
2022-05-18,0.839,0.926,86,26,83,25,3,1,174,147.71428571428572,37,33.142857142857146,117,122.28571428571428,24,28.285714285714285,57,25.428571428571427,13,4.857142857142857
2022-05-19,0.344,0.512,102,20,85,18,17,2,174,144,37,32.285714285714285,117,117.85714285714286,24,27.714285714285715,57,26.142857142857142,13,4.571428571428571
2022-05-20,0.328,0.303,164,34,96,17,68,17,164,128.57142857142858,34,27.714285714285715,96,105.71428571428572,17,23.714285714285715,68,22.857142857142858,17,4
2022-05-21,0.761,0.698,83,19,73,18,10,1,164,91.42857142857144,34,18.571428571428573,96,69.71428571428571,17,14.428571428571429,68,21.714285714285715,17,4.142857142857143
2022-05-22,0.9,0.91,27,2,15,1,12,1,118.5,89.57142857142857,22,16.285714285714285,73,65,10.5,11.428571428571429,45.5,24.571428571428573,11.5,4.857142857142857
2022-05-23,0.828,0.744,76,8,53,3,23,5,118.5,88.14285714285714,22,17,73,59.42857142857143,10.5,9.857142857142858,45.5,28.714285714285715,11.5,7.142857142857143
2022-05-24,0.393,0.518,102,21,83,19,19,2,105,84.28571428571429,29.5,19.142857142857142,67,57.714285714285715,14,10.857142857142858,38,26.571428571428573,15.5,8.285714285714286
2022-05-25,0.512,0.371,73,10,50,4,23,6,105,77.71428571428571,29.5,17,67,49.42857142857143,14,8.428571428571429,38,28.285714285714285,15.5,8.571428571428571
2022-05-26,0.757,0.845,92,25,46,7,46,18,105,81.57142857142857,29.5,18,67,52.285714285714285,14,9.285714285714286,38,29.285714285714285,15.5,8.714285714285714
2022-05-27,0.509,0.337,137,49,84,24,53,25,105,87.14285714285714,29.5,19.428571428571427,67,52.285714285714285,14,9.714285714285714,38,34.857142857142854,15.5,9.714285714285714
2022-05-28,0.576,0.508,37,4,15,1,22,3,102.33333333333331,86.42857142857143,23,17.857142857142858,61.333333333333336,47.57142857142857,11,7.714285714285714,41,38.857142857142854,12,10.142857142857142
2022-05-29,0.73,0.658,54,9,35,7,19,2,115.33333333333331,92,29.666666666666668,20.714285714285715,66.33333333333333,49.714285714285715,15.333333333333334,9.571428571428571,49,42.285714285714285,14.333333333333334,11.142857142857142
2022-05-30,0.701,0.57,115,18,53,6,62,12,99,86,24.25,18.285714285714285,55.5,46.42857142857143,12.75,9.285714285714286,43.5,39.57142857142857,11.5,9
2022-05-31,0.482,0.415,97,10,50,5,47,5,92,82,15.5,13.285714285714286,47.75,42,8.75,7,44.25,40,6.75,6.285714285714286
2022-06-01,0.278,0.131,112,30,65,17,47,13,101.4,96.57142857142856,15.6,15,51.2,49.142857142857146,10.2,9.142857142857142,50.2,47.42857142857143,5.4,5.857142857142857
2022-06-02,0.299,0.193,50,8,23,5,27,3,101.4,93.57142857142856,15.6,14.857142857142858,51.2,46.42857142857143,10.2,9.285714285714286,50.2,47.142857142857146,5.4,5.571428571428571
2022-06-03,0.347,0.363,109,14,53,8,56,6,116.5,104.57142857142856,14.166666666666666,13.285714285714286,61.166666666666664,54.714285714285715,9.666666666666666,9.428571428571429,55.333333333333336,49.857142857142854,4.5,3.8571428571428568
2022-06-04,0.295,0.144,139,16,65,16,74,0,129.83333333333334,116,20.833333333333332,19,63.333333333333336,56.57142857142857,10.833333333333334,10.428571428571429,66.5,59.42857142857143,10,8.571428571428573
2022-06-05,0.8,0.753,33,8,16,8,17,0,139.5,124.28571428571428,21.166666666666668,19.285714285714285,65.83333333333333,58.714285714285715,9.5,9.285714285714286,73.66666666666667,65.57142857142857,11.666666666666668,10
2022-06-06,0.45,0.333,192,7,111,7,81,0,185.16666666666663,163.42857142857142,28,25.142857142857142,91.33333333333331,80.57142857142857,12.5,11.857142857142858,93.83333333333331,82.85714285714286,15.5,13.285714285714286
2022-06-07,0.372,0.425,177,50,63,12,114,38,236.16666666666663,207.1428571428571,41.833333333333336,37,111.83333333333331,98.14285714285714,21,19.142857142857142,124.33333333333331,109,20.833333333333332,17.857142857142858
2022-06-08,0.233,0.208,170,32,80,9,90,23,281.3333333333333,245.8571428571429,51.5,45.285714285714285,130.83333333333334,114.42857142857144,25.166666666666664,22.714285714285715,150.5,131.42857142857142,26.333333333333332,22.571428571428573
2022-06-09,0.342,0.417,324,49,176,23,148,26,271.7142857142857,271.7142857142857,50,50,124,124,23.285714285714285,23.285714285714285,147.71428571428572,147.71428571428572,26.714285714285715,26.714285714285715
2022-06-10,0.296,0.168,415,97,176,59,239,38,262.57142857142856,262.57142857142856,51.285714285714285,51.285714285714285,119.42857142857144,119.42857142857144,22.857142857142858,22.857142857142858,143.14285714285714,143.14285714285714,28.428571428571427,28.428571428571427
2022-06-11,0.262,0.12,410,74,179,41,231,33,251.28571428571428,251.28571428571428,48.285714285714285,48.285714285714285,118,118,22.285714285714285,22.285714285714285,133.28571428571428,133.28571428571428,26,26
2022-06-12,0.247,0.125,214,41,83,12,131,29,235.71428571428572,235.71428571428572,44.142857142857146,44.142857142857146,113.42857142857144,113.42857142857144,21.428571428571427,21.428571428571427,122.28571428571428,122.28571428571428,22.714285714285715,22.714285714285715
2022-06-13,0.253,0.209,128,16,79,4,49,12,221,200.1428571428571,43.333333333333336,39,103,94.42857142857144,21.166666666666664,18.428571428571427,118,105.71428571428572,22.166666666666668,20.57142857142857
2022-06-14,0.493,0.418,98,29,53,8,45,21,179.33333333333334,164.42857142857144,36.5,33.142857142857146,82.83333333333333,77.14285714285714,11.666666666666668,10.285714285714286,96.5,87.28571428571429,24.833333333333332,22.857142857142858
2022-06-15,0.628,0.492,61,3,48,3,13,0,133.2,119.57142857142856,29,26.428571428571427,63.6,59.285714285714285,5.8,4.571428571428571,69.6,60.285714285714285,23.2,21.857142857142858
2022-06-16,0.687,0.8,75,13,43,2,32,11,130.8,117.85714285714286,28.2,25.857142857142858,72.8,65.85714285714286,4.6,3.7142857142857144,58,52,23.6,22.142857142857142
2022-06-17,0.603,0.464,165,56,55,2,110,54,173.6,148.42857142857142,45.8,38.42857142857143,88.8,77.28571428571429,10,7.571428571428572,84.8,71.14285714285714,35.8,30.857142857142858
2022-06-18,0.652,0.737,96,27,54,1,42,26,212.2,176,60.2,48.714285714285715,107.6,90.71428571428572,16.8,12.428571428571429,104.6,85.28571428571429,43.4,36.285714285714285
2022-06-19,0.084,0.121,202,37,129,6,73,31,250,186.8571428571429,74.5,55.142857142857146,122.5,90.28571428571428,20.25,12.857142857142858,127.5,96.57142857142856,54.25,42.285714285714285
2022-06-20,0.003,0.004,342,104,159,31,183,73,250,182.57142857142856,74.5,54.42857142857143,122.5,87.57142857142857,20.25,12.571428571428571,127.5,95,54.25,41.857142857142854
2022-06-21,0.346,0.153,291,101,147,42,144,59,278.3333333333333,168.14285714285714,80.66666666666667,50.285714285714285,145,83.71428571428571,26.333333333333332,12.428571428571429,133.33333333333334,84.42857142857143,54.333333333333336,37.857142857142854
2022-06-22,0.774,0.734,137,48,45,6,92,42,278.3333333333333,164.71428571428572,80.66666666666667,49.857142857142854,145,82,26.333333333333332,12.857142857142858,133.33333333333334,82.71428571428571,54.333333333333336,37
2022-06-23,0.854,0.935,45,8,24,0,21,8,316.5,144.85714285714286,102.5,46.857142857142854,153,67.42857142857143,36.5,12.428571428571429,163.5,77.42857142857143,66,34.42857142857143
2022-06-24,0.681,0.749,64,27,28,1,36,26,270.5,131.71428571428572,80,40.42857142857143,122.5,58.714285714285715,22.5,8.428571428571427,148,73,57.5,32
2022-06-25,0.605,0.812,72,24,42,4,30,20,282.5,135.14285714285714,54.5,33.142857142857146,133.5,61.857142857142854,5,3.4285714285714284,149,73.28571428571429,49.5,29.714285714285715
2022-06-26,0.616,0.55,63,16,27,3,36,13,282.6666666666667,156,44.666666666666664,29.857142857142858,139.33333333333334,77,7.333333333333333,4.285714285714286,143.33333333333334,79,37.333333333333336,25.571428571428573
2022-06-27,0.473,0.448,250,59,98,3,152,56,247.75,170,45.5,35.57142857142857,121.25,83.14285714285714,7.25,5.285714285714286,126.5,86.85714285714286,38.25,30.285714285714285
2022-06-28,0.311,0.314,315,50,169,7,146,43,282.4,221,59.6,48.28571428571429,131.2,103.57142857142856,8.6,7.142857142857143,151.2,117.42857142857144,51,41.142857142857146
2022-06-29,0.125,0.126,283,25,151,12,132,13,320,283.2857142857143,70.66666666666667,62.857142857142854,137.16666666666666,121.42857142857144,10.333333333333334,9.285714285714286,182.83333333333337,161.85714285714286,60.333333333333336,53.57142857142857
2022-06-30,0.345,0.493,143,48,67,7,76,41,385.42857142857144,385.42857142857144,95.71428571428572,95.71428571428572,162.71428571428572,162.71428571428572,18.428571428571427,18.428571428571427,222.71428571428572,222.71428571428572,77.28571428571429,77.28571428571429
2022-07-01,0.139,0.076,421,116,171,14,250,102,417.42857142857144,417.42857142857144,117,117,180.14285714285714,180.14285714285714,28.428571428571427,28.428571428571427,237.28571428571428,237.28571428571428,88.57142857142857,88.57142857142857
2022-07-02,0.101,0.036,508,126,167,19,341,107,419.42857142857144,419.42857142857144,131.57142857142858,131.57142857142858,174.42857142857142,174.42857142857142,34.714285714285715,34.714285714285715,245,245,96.85714285714286,96.85714285714286
2022-07-03,0.34,0.054,778,246,316,67,462,179,458.57142857142856,458.57142857142856,163.28571428571428,163.28571428571428,198,198,51,51,260.57142857142856,260.57142857142856,112.28571428571428,112.28571428571428
2022-07-04,0.224,0.242,474,208,220,73,254,135,556.2857142857143,556.2857142857143,203.57142857142856,203.57142857142856,248.8571428571429,248.8571428571429,73.71428571428571,73.71428571428571,307.42857142857144,307.42857142857144,129.85714285714286,129.85714285714286
2022-07-05,0.199,0.177,329,152,129,51,200,101,628.4285714285714,628.4285714285714,235.1428571428571,235.1428571428571,290.57142857142856,290.57142857142856,94.14285714285714,94.14285714285714,337.85714285714283,337.85714285714283,141,141
2022-07-06,0.304,0.072,557,247,316,126,241,121,622.4285714285714,622.4285714285714,241.42857142857144,241.42857142857144,297.57142857142856,297.57142857142856,105,105,324.85714285714283,324.85714285714283,136.42857142857142,136.42857142857142
2022-07-07,0.522,0.393,827,330,423,166,404,164,596.5,522.5714285714286,240.66666666666663,210,294.5,255.71428571428572,111.33333333333331,95.71428571428572,302,266.85714285714283,129.33333333333334,114.28571428571428
2022-07-08,0.288,0.15,926,337,463,157,463,180,621,465,247.2,185.28571428571428,309.4,230.28571428571428,119,88.57142857142857,311.6,234.71428571428572,128.2,96.71428571428572
2022-07-09,0.534,0.403,466,170,216,95,250,75,585.4,439.57142857142856,226.2,170.28571428571428,300.2,223.71428571428572,112,83.57142857142857,285.2,215.8571428571429,114.2,86.71428571428571
2022-07-10,0.724,0.665,79,26,23,2,56,24,592.5,391.42857142857144,221,142.85714285714286,296.25,197.71428571428572,108.5,68.71428571428571,296.25,193.71428571428572,112.5,74.14285714285714
